Origin,Destination,Distance,Duration,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Origin_Address,Destination_Address
Thiruvananthapuram,Kanniyakumari,97.4 km,2 hours 39 mins,8.5241391,76.9366376,8.0843512,77.54950190000001,"Thiruvananthapuram, Kerala, India","Kanniyakumari, Tamil Nadu, India"
Kanniyakumari,Rameswaram,310 km,5 hours 40 mins,8.0843512,77.54950190000001,9.287583699999999,79.3129488,"Kanniyakumari, Tamil Nadu, India","Rameswaram, Tamil Nadu, India"
Rameswaram,Karaikal,283 km,5 hours 39 mins,9.287583699999999,79.3129488,10.9254398,79.8380056,"Rameswaram, Tamil Nadu, India","Karaikal, Puducherry, India"
Karaikal,Tiruvannamalai,202 km,4 hours 7 mins,10.9254398,79.8380056,12.2252841,79.07469569999999,"Karaikal, Puducherry, India","Tiruvannamalai, Tamil Nadu, India"
Tiruvannamalai,Bengaluru,207 km,4 hours 10 mins,12.2252841,79.07469569999999,12.9715987,77.5945627,"Tiruvannamalai, Tamil Nadu, India","Bengaluru, Karnataka, India"
Bengaluru,Chitradurga,201 km,3 hours 39 mins,12.9715987,77.5945627,14.2250932,76.3980464,"Bengaluru, Karnataka, India","Chitradurga, Karnataka, India"
Chitradurga,Hubballi,209 km,3 hours 18 mins,14.2250932,76.3980464,15.3647083,75.1239547,"Chitradurga, Karnataka, India","Hubballi, Karnataka, India"
Hubballi,Goa,150 km,3 hours 44 mins,15.3647083,75.1239547,15.2993265,74.12399599999999,"Hubballi, Karnataka, India","Goa, India"
Goa,Ratnagiri,278 km,5 hours 39 mins,15.2993265,74.12399599999999,16.990215,73.31202329999999,"Goa, India","Ratnagiri, Maharashtra, India"
Ratnagiri,Alibag,277 km,6 hours 7 mins,16.990215,73.31202329999999,18.6583989,72.8773346,"Ratnagiri, Maharashtra, India","Alibag, Maharashtra, India"
Alibag,Mumbai,109 km,2 hours 26 mins,18.6583989,72.8773346,19.0759837,72.8776559,"Alibag, Maharashtra, India","Mumbai, Maharashtra, India"
Mumbai,Daman,172 km,4 hours 24 mins,19.0759837,72.8776559,20.3973736,72.8327991,"Mumbai, Maharashtra, India","Daman, Dadra and Nagar Haveli and Daman and Diu, India"
Daman,Surat,124 km,2 hours 49 mins,20.3973736,72.8327991,21.1702401,72.83106070000001,"Daman, Dadra and Nagar Haveli and Daman and Diu, India","Surat, Gujarat, India"
Surat,Bhavnagar,148 km,6 hours 2 mins,21.1702401,72.83106070000001,21.7644725,72.15193040000001,"Surat, Gujarat, India","Bhavnagar, Gujarat, India"
